Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Green,LED_0805_2012Metric,142.7035,2.381,180,top
D2,Green,LED_0805_2012Metric,142.5915,-1.556,180,top
D3,Green,LED_0805_2012Metric,141.8295,-22.0665,180,top
D4,Green,LED_0805_2012Metric,141.8295,-20.1615,180,top
D5,SM4007PL,D_SOD-123F,111.57,-14.125,-90,top
FUSE1,1A,Fuse_1206_3216Metric,109.25,-14.2,-90,top
IC1,SN74LS641-1DW,SOIC127P1030X265-20N,105.444,-4.985,0,top
IC2,SN74LS641-1DW,SOIC127P1030X265-20N,92.49,-4.985,0,top
IC3,SN74LS641-1DW,SOIC127P1030X265-20N,118.398,-4.985,180,top
IC4,SN74LS641-1DW,SOIC127P1030X265-20N,131.352,-4.985,180,top
J1,Raspberry_Pi_2_3,PinSocket_2x20_P2.54mm_Vertical,112.77,6.82,180,bottom
J2,DNP,PinHeader_1x02_P2.54mm_Horizontal,143.601,-0.408,180,bottom
J3,Conn_02x25_Odd_Even,PinHeader_2x25_P2.54mm_Vertical,112.7415,-28.9195,0,top
J4,I2C Pinout,PinSocket_1x06_P2.54mm_Vertical,83.835,-4.655,270,top
J5,DNP,PinHeader_2x03_P2.54mm_Vertical,85.085,-21.775,-90,top
J6,CONNFLY DB-25,L717SDB25PA4CH4F,112.8016,-36.5,0,top
J8,USB_B_Micro,U254051N4BH806,143.19,-8.6595,90,top
J20,171826-4,PinHeader_1x04_P2.54mm_Vertical,105.87,-18.78,180,top
R1,2k,R_0402_1005Metric,138.7585,2.4445,0,top
R2,2k,R_0402_1005Metric,138.7585,3.4605,0,top
R3,5.1k,R_0402_1005Metric,139.607,-22.003,-90,top
R4,2k,R_0402_1005Metric,139.607,-20.098,-90,top
R5,10k,R_0402_1005Metric,132.8125,2.231,-90,top
R6,10k,R_0402_1005Metric,134.0825,2.231,-90,top
R7,10k,R_0402_1005Metric,135.3525,2.231,-90,top
R8,10k,R_0402_1005Metric,136.6225,2.231,-90,top
R9,10k,R_0402_1005Metric,118.525,2.231,-90,top
R10,10k,R_0402_1005Metric,119.795,2.231,-90,top
R11,10k,R_0402_1005Metric,121.065,2.231,-90,top
R12,10k,R_0402_1005Metric,122.335,2.231,-90,top
R13,10k,R_0402_1005Metric,123.605,2.231,-90,top
R14,10k,R_0402_1005Metric,89.95,2.231,-90,top
R15,10k,R_0402_1005Metric,91.22,2.231,-90,top
R16,10k,R_0402_1005Metric,92.49,2.231,-90,top
R17,10k,R_0402_1005Metric,93.76,2.231,-90,top
R18,10k,R_0402_1005Metric,95.03,2.231,-90,top
R19,10k,R_0402_1005Metric,102.269,2.231,-90,top
R20,10k,R_0402_1005Metric,103.539,2.231,-90,top
R21,10k,R_0402_1005Metric,104.809,2.231,-90,top
R22,10k,R_0402_1005Metric,106.079,2.231,-90,top
R23,220,R_0805_2012Metric,128.8025,-13.6,-90,top
R24,220,R_0805_2012Metric,130.715,-13.6,-90,top
R25,220,R_0805_2012Metric,132.6275,-13.6,-90,top
R26,220,R_0805_2012Metric,134.54,-13.6,-90,top
R27,220,R_0805_2012Metric,119.24,-13.6,-90,top
R28,220,R_0805_2012Metric,121.1525,-13.6,-90,top
R29,220,R_0805_2012Metric,123.065,-13.6,-90,top
R30,220,R_0805_2012Metric,124.9775,-13.6,-90,top
R31,220,R_0805_2012Metric,126.89,-13.6,-90,top
R32,220,R_0805_2012Metric,87.8,-13.6,-90,top
R33,220,R_0805_2012Metric,89.7125,-13.6,-90,top
R34,220,R_0805_2012Metric,91.625,-13.6,-90,top
R35,220,R_0805_2012Metric,93.5375,-13.6,-90,top
R36,220,R_0805_2012Metric,95.45,-13.6,-90,top
R37,220,R_0805_2012Metric,97.3625,-13.6,-90,top
R38,220,R_0805_2012Metric,99.275,-13.6,-90,top
R39,220,R_0805_2012Metric,101.1875,-13.6,-90,top
R40,220,R_0805_2012Metric,103.1,-13.6,-90,top
R41,330,R_0805_2012Metric,128.8025,-17,90,top
R42,330,R_0805_2012Metric,130.715,-17,90,top
R43,330,R_0805_2012Metric,132.6275,-17,90,top
R44,330,R_0805_2012Metric,134.54,-17,90,top
R45,330,R_0805_2012Metric,119.24,-17,90,top
R46,330,R_0805_2012Metric,121.1525,-17,90,top
R47,330,R_0805_2012Metric,123.065,-17,90,top
R48,330,R_0805_2012Metric,124.9775,-17,90,top
R49,330,R_0805_2012Metric,126.89,-17,90,top
R50,330,R_0805_2012Metric,87.8,-17,90,top
R51,330,R_0805_2012Metric,89.7125,-17,90,top
R52,330,R_0805_2012Metric,91.625,-17,90,top
R53,330,R_0805_2012Metric,93.5375,-17,90,top
R54,330,R_0805_2012Metric,95.45,-17,90,top
R55,330,R_0805_2012Metric,97.3625,-17,90,top
R56,330,R_0805_2012Metric,99.275,-17,90,top
R57,330,R_0805_2012Metric,101.1875,-17,90,top
R58,330,R_0805_2012Metric,103.1,-17,90,top
S1,Switch x2,SOIC127P812X230-4N,115.88,-16.6995,180,top
