Comment,Designator,Footprint,LCSC
Raspberry_Pi_2_3,J1,PinHeader_2x20_P2.54mm_Vertical,C124383
SN74LS641-1DW,"IC1,IC2,IC3,IC4",SOIC127P1030X265-20N,C1548111
500,R59,R_0805_2012Metric,C17408
10k,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R5,R6,R7,R8,R9",R_0805_2012Metric,C17414
220,"R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40",R_0805_2012Metric,C17557
2k,"R1,R2,R4",R_0805_2012Metric,C17604
330,"R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58",R_0805_2012Metric,C17630
1A,FUSE1,Fuse_1206_3216Metric,C182974
Green,"D1,D2,D3,D4",LED_0805_2012Metric,C2297
5.1k,R3,R_0805_2012Metric,C27834
U254-051N-4BH806,J3,U254051N4BH806,C319170
DNP,J2,PinHeader_1x02_P2.54mm_Horizontal,C376120
I2C Pinout,J4,PinSocket_1x06_P2.54mm_Vertical,C50950
SM4007PL,D5,D_SOD-123F,C64898
CONNFLY DB-25,J6,L717SDB25PA4CH4F,C77838
Hole1,H1,MountingHole_2.7mm_M2.5,
Hole3,H3,MountingHole_2.7mm_M2.5,
Hole5,H4,MountingHole_2.7mm_M2.5,
Hole2,H2,MountingHole_2.7mm_M2.5,
Pi,X7,pi_logo,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint_Small,TP1,TestPoint_Pad_D1.0mm,
TestPoint_Small,TP2,TestPoint_Pad_D1.0mm,
TestPoint_Small,TP3,TestPoint_Pad_D1.0mm,
