Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Green,LED_0805_2012Metric,143.376,-11.478,180.0,top
D2,Green,LED_0805_2012Metric,143.376,-9.192,180.0,top
D3,Green,LED_0805_2012Metric,81.273,-10.589,-90.0,top
D4,Green,LED_0805_2012Metric,81.273,-6.9545,-90.0,top
D5,SM4007PL,D_SOD-123F,105.86,-1.35,90.0,top
FUSE1,1A,Fuse_1206_3216Metric,105.79416,-5.91032,-90.0,top
IC1,SN74LS641-1DW,SOIC127P1030X265-20N,118.62588,-4.91388,90.0,bottom
IC2,SN74LS641-1DW,SOIC127P1030X265-20N,131.57988,-4.91388,90.0,bottom
IC3,SN74LS641-1DW,SOIC127P1030X265-20N,105.67188,-4.91388,270.0,bottom
IC4,SN74LS641-1DW,SOIC127P1030X265-20N,92.71788,-4.91388,270.0,bottom
J1,Raspberry_Pi_2_3,PinHeader_2x20_P2.54mm_Vertical,112.795,6.805,90.0,top
J2,DNP,PinHeader_1x02_P2.54mm_Horizontal,145.211,-10.457,180.0,bottom
J3,U254-051N-4BH806,U254051N4BH806,142.435,-2.1995,90.0,top
J4,I2C Pinout,PinSocket_1x06_P2.54mm_Vertical,83.835,-4.655,180.0,top
J6,CONNFLY DB-25,L717SDB25PA4CH4F,112.8,-20.672,0.0,bottom
R1,2k,R_0805_2012Metric,118.672224,-3.01414,-90.0,top
R2,2k,R_0805_2012Metric,118.672224,0.67528,-90.0,top
R3,5.1k,R_0805_2012Metric,87.5995,-9.7,180.0,top
R4,2k,R_0805_2012Metric,91.179,-9.7,180.0,top
R5,10k,R_0805_2012Metric,93.536124,0.67528,90.0,top
R6,10k,R_0805_2012Metric,91.50485,0.67528,90.0,top
R7,10k,R_0805_2012Metric,89.473576,0.67528,90.0,top
R8,10k,R_0805_2012Metric,87.40166,0.67528,90.0,top
R9,10k,R_0805_2012Metric,103.692494,0.67528,90.0,top
R10,10k,R_0805_2012Metric,101.66122,0.67528,90.0,top
R11,10k,R_0805_2012Metric,99.629946,0.67528,90.0,top
R12,10k,R_0805_2012Metric,97.598672,0.67528,90.0,top
R13,10k,R_0805_2012Metric,95.567398,0.67528,90.0,top
R14,10k,R_0805_2012Metric,136.9752,0.67528,90.0,top
R15,10k,R_0805_2012Metric,134.943926,0.67528,90.0,top
R16,10k,R_0805_2012Metric,132.912652,0.67528,90.0,top
R17,10k,R_0805_2012Metric,130.881378,0.67528,90.0,top
R18,10k,R_0805_2012Metric,128.850104,0.67528,90.0,top
R19,10k,R_0805_2012Metric,126.81883,0.67528,90.0,top
R20,10k,R_0805_2012Metric,124.787556,0.67528,90.0,top
R21,10k,R_0805_2012Metric,122.756282,0.67528,90.0,top
R22,10k,R_0805_2012Metric,120.725008,0.67528,90.0,top
R23,220,R_0805_2012Metric,93.502664,-6.70356,90.0,top
R24,220,R_0805_2012Metric,91.469,-6.70356,90.0,top
R25,220,R_0805_2012Metric,89.435336,-6.70356,90.0,top
R26,220,R_0805_2012Metric,87.40166,-6.70356,90.0,top
R27,220,R_0805_2012Metric,103.670984,-6.70356,90.0,top
R28,220,R_0805_2012Metric,101.63732,-6.70356,90.0,top
R29,220,R_0805_2012Metric,99.603656,-6.70356,90.0,top
R30,220,R_0805_2012Metric,97.569992,-6.70356,90.0,top
R31,220,R_0805_2012Metric,95.536328,-6.70356,90.0,top
R32,220,R_0805_2012Metric,136.9752,-6.70356,90.0,top
R33,220,R_0805_2012Metric,134.941536,-6.70356,90.0,top
R34,220,R_0805_2012Metric,132.907872,-6.70356,90.0,top
R35,220,R_0805_2012Metric,130.874208,-6.70356,90.0,top
R36,220,R_0805_2012Metric,128.840544,-6.70356,90.0,top
R37,220,R_0805_2012Metric,126.80688,-6.70356,90.0,top
R38,220,R_0805_2012Metric,124.773216,-6.70356,90.0,top
R39,220,R_0805_2012Metric,122.739552,-6.70356,90.0,top
R40,220,R_0805_2012Metric,120.705888,-6.70356,90.0,top
R41,330,R_0805_2012Metric,93.51246,-3.01414,-90.0,top
R42,330,R_0805_2012Metric,91.47553,-3.01414,-90.0,top
R43,330,R_0805_2012Metric,89.4386,-3.01414,-90.0,top
R44,330,R_0805_2012Metric,87.40166,-3.01414,-90.0,top
R45,330,R_0805_2012Metric,103.69711,-3.01414,-90.0,top
R46,330,R_0805_2012Metric,101.66018,-3.01414,-90.0,top
R47,330,R_0805_2012Metric,99.62325,-3.01414,-90.0,top
R48,330,R_0805_2012Metric,97.58632,-3.01414,-90.0,top
R49,330,R_0805_2012Metric,95.54939,-3.01414,-90.0,top
R50,330,R_0805_2012Metric,136.9752,-3.01414,-90.0,top
R51,330,R_0805_2012Metric,134.99379,-3.01414,-90.0,top
R52,330,R_0805_2012Metric,132.95686,-3.01414,-90.0,top
R53,330,R_0805_2012Metric,130.91993,-3.01414,-90.0,top
R54,330,R_0805_2012Metric,128.883,-3.01414,-90.0,top
R55,330,R_0805_2012Metric,126.84607,-3.01414,-90.0,top
R56,330,R_0805_2012Metric,124.80914,-3.01414,-90.0,top
R57,330,R_0805_2012Metric,122.77221,-3.01414,-90.0,top
R58,330,R_0805_2012Metric,120.73528,-3.01414,-90.0,top
R59,500,R_0805_2012Metric,118.672224,-6.70356,-90.0,top
X7,Pi,pi_logo,114.153381,-4.851316,0.0,top
